Plate	Well Number	Well	Plate_Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Gene Description	GO Biological Process	GO Molecular Function	GO Cellular Component	GO Term	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Batch	Control Type	Control Comments	Quality Control	Channels	Comments
P148	58	E10	P148_E10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER118C	SHO1	SSU81	"Transmembrane osmosensor, participates in activation of both the Cdc42p- and MAP kinase-dependent filamentous growth pathway and the high-osmolarity glycerol response pathway"	"response to stress, pseudohyphal growth"	signal transducer activity	"membrane, site of polarized growth, plasma membrane"	"plasma membrane, pseudohyphal growth, response to stress, signal transducer activity, signal transduction, site of polarized growth"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	59	E11	P148_E11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER119C	AVT6		Vacuolar aspartate and glutamate exporter; member of a family of seven genes (AVT1-7) related to vesicular GABA-glycine transporters; involved in compartmentalizing acidic amino acids in response to nitrogen starvation	transport	transporter activity	"membrane, vacuole, cytoplasm"	"cytoplasm, membrane, transport, transporter activity, vacuole"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	60	E12	P148_E12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER119C-A			"Dubious open reading frame, not conserved in closely related Saccharomyces species; deletion mutation blocks replication of Brome mosaic virus in S. cerevisiae, but this is likely due to effects on the overlapping gene SCS2"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	61	F1	P148_F1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER120W	SCS2		"Integral ER membrane protein that regulates phospholipid metabolism via an interaction with the FFAT motif of Opi1p, also involved in telomeric silencing, disruption causes inositol auxotrophy above 34 degrees C, VAP homolog"	"transport, transcription, cellular lipid metabolic process, RNA metabolic process"	"lipid binding, protein binding"	"nucleus, endomembrane system, cellular bud, membrane, site of polarized growth, endoplasmic reticulum, cytoplasm"	"RNA metabolic process, cytoplasm, endomembrane system, endoplasmic reticulum, lipid binding, lipid metabolic process, membrane, nucleus, organelle organization and biogenesis, protein binding, transcription, transport"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	62	F2	P148_F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER121W			Putative protein of unknown function; may be involved in phosphatase regulation and/or generation of precursor metabolites and energy	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	63	F3	P148_F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER122C	GLO3		"ADP-ribosylation factor GTPase activating protein (ARF GAP), involved in ER-Golgi transport; shares functional similarity with Gcs1p"	"transport, vesicle organization, vesicle-mediated transport, cellular membrane organization"	enzyme regulator activity	"endomembrane system, cytoplasmic membrane-bounded vesicle, membrane, Golgi apparatus, cytoplasm"	"Golgi apparatus, cytoplasm, cytoplasmic membrane-bounded vesicle, cytoskeleton organization and biogenesis, endomembrane system, enzyme regulator activity, membrane, membrane organization and biogenesis, organelle organization and biogenesis, transport, vesicle-mediated transport"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	64	F4	P148_F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER123W	YCK3	CKI3	"Palmitoylated, vacuolar membrane-localized casein kinase I isoform; negatively regulates vacuole fusion during hypertonic stress via phosphorylation of Vps41p; shares essential functions with Hrr25p; regulates vesicle fusion in AP-3 pathway"	"transport, protein modification process, vesicle-mediated transport"	"transferase activity, protein kinase activity"	"nucleus, vacuole, membrane, cytoplasm, plasma membrane"	"cytoplasm, membrane, nucleus, plasma membrane, protein kinase activity, protein modification process, transferase activity, vacuole"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	65	F5	P148_F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER124C	DSE1		"Daughter cell-specific protein, may regulate cross-talk between the mating and filamentation pathways; deletion affects cell separation after division and sensitivity to alpha-factor and drugs affecting the cell wall"	"signaling process, conjugation, cytokinesis, response to chemical stimulus"	molecular_function	"cellular bud, site of polarized growth"	"cellular bud, cytokinesis, molecular_function, site of polarized growth"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	66	F6	P148_F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER128W			Putative protein of unknown function	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	67	F7	P148_F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER129W	SAK1	PAK1	"Upstream serine/threonine kinase for the SNF1 complex; partially redundant with Elm1p and Tos3p; members of this family have functional orthology with LKB1, a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome"	"cellular carbohydrate metabolic process, DNA metabolic process, protein modification process"	"transferase activity, protein kinase activity"	cytoplasm	"DNA metabolic process, carbohydrate metabolic process, cytoplasm, protein kinase activity, protein modification process, transferase activity"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	68	F8	P148_F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER130C			Protein of unknown function	biological_process	DNA binding	cellular_component	"biological_process, cellular_component, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	69	F9	P148_F9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER131W	RPS26B	S26B	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps26Ap and has similarity to rat S26 ribosomal protein	"transport, translation, ribosome biogenesis"	structural molecule activity	"ribosome, cytoplasm"	"cytoplasm, ribosome, structural molecule activity, translation"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	70	F10	P148_F10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER132C	PMD1		"Protein with an N-terminal kelch-like domain, putative negative regulator of early meiotic gene expression; required, with Mds3p, for growth under alkaline conditions"	sporulation resulting in formation of a cellular spore	molecular_function	cytoplasm	"cytoplasm, molecular_function, sporulation"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	71	F11	P148_F11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER134C			Putative protein of unknown function; non-essential gene	biological_process	molecular_function	"nucleus, cytoplasm"	"biological_process, cytoplasm, molecular_function, nucleus"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	72	F12	P148_F12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER135C			Dubious open reading frame unlikely to encode a protein; YER135C is not an essential gene	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	73	G1	P148_G1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER137C			Putative protein of unknown function	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	74	G2	P148_G2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER139C	RTR1		CTD phosphatase; dephosphorylates S5-P in the C-terminal domain of Rpo21p; has a cysteine-rich motif required for function and conserved in eukaryotes; shuttles between the nucleus and cytoplasm	"transcription, protein modification process, RNA metabolic process"	"phosphoprotein phosphatase activity, hydrolase activity"	"nucleus, cytoplasm"	"RNA metabolic process, cytoplasm, molecular_function, nucleus, transcription"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	75	G3	P148_G3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER140W			"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; genetic interactions suggest a role in folding of ER membrane proteins"	protein folding	molecular_function	"mitochondrion, cytoplasm"	"biological_process, mitochondrion, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	76	G4	P148_G4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER141W	COX15		"Protein required for the hydroxylation of heme O to form heme A, which is an essential prosthetic group for cytochrome c oxidase"	"cofactor metabolic process, heterocycle metabolic process"	oxidoreductase activity	"membrane, mitochondrial envelope, mitochondrion, cytoplasm"	"cofactor metabolic process, cytoplasm, heterocycle metabolic process, membrane, mitochondrial envelope, mitochondrion, oxidoreductase activity"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	77	G5	P148_G5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER142C	MAG1	MMS5	3-methyl-adenine DNA glycosylase involved in protecting DNA against alkylating agents; initiates base excision repair by removing damaged bases to create abasic sites that are subsequently repaired	"response to stress, DNA metabolic process"	hydrolase activity	nucleus	"DNA metabolic process, hydrolase activity, nucleus, response to stress"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	78	G6	P148_G6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER143W	DDI1	VSM1	"DNA damage-inducible v-SNARE binding protein, contains a ubiquitin-associated (UBA) domain, may act as a negative regulator of constitutive exocytosis, may play a role in S-phase checkpoint control"	"transport, vesicle-mediated transport, cellular protein catabolic process"	protein binding	"membrane, plasma membrane"	"plasma membrane, protein binding, protein catabolic process, vesicle-mediated transport"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	79	G7	P148_G7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER145C	FTR1		High affinity iron permease involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron	"transport, cellular homeostasis"	transporter activity	"membrane, plasma membrane"	"cellular homeostasis, membrane, plasma membrane, transport, transporter activity"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	80	G8	P148_G8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER149C	PEA2	PPF2;DFG9	"Coiled-coil polarisome protein required for polarized morphogenesis, cell fusion, and low affinity Ca2+ influx; forms polarisome complex with Bni1p, Bud6p, and Spa2p; localizes to sites of polarized growth"	"cell budding, signaling process, cytoskeleton organization, cytokinesis, response to chemical stimulus, conjugation, pseudohyphal growth, cellular component morphogenesis, cell cycle"	protein binding	"cell cortex, cytoskeleton, site of polarized growth, cytoplasm"	"anatomical structure morphogenesis, cell budding, cell cortex, conjugation, cytokinesis, cytoplasm, cytoskeleton, cytoskeleton organization and biogenesis, organelle organization and biogenesis, other, protein binding, pseudohyphal growth, response to chemical stimulus, signal transduction, site of polarized growth"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	81	G9	P148_G9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER150W	SPI1		GPI-anchored cell wall protein involved in weak acid resistance; basal expression requires Msn2p/Msn4p; expression is induced under conditions of stress and during the diauxic shift; similar to Sed1p	response to chemical stimulus	molecular_function	cell wall	"cell wall, molecular_function, response to chemical stimulus"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	82	G10	P148_G10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER151C	UBP3	BLM3	Ubiquitin-specific protease that interacts with Bre5p to co-regulate anterograde and retrograde transport between endoplasmic reticulum and Golgi compartments; inhibitor of gene silencing; cleaves ubiquitin fusions but not polyubiquitin	"transport, vesicle-mediated transport, protein modification process"	"peptidase activity, hydrolase activity"	cytoplasm	"cytoplasm, hydrolase activity, other, peptidase activity, protein modification process, response to chemical stimulus"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	83	G11	P148_G11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER152C			Protein with 2-aminoadipate transaminase activity; shares amino acid similarity with the aminotransferases Aro8p and Aro9p; YER152C is not an essential gene	biological_process	transferase activity	"nucleus, cytoplasm"	"biological_process, cytoplasm, molecular_function, nucleus"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	84	G12	P148_G12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER153C	PET122		"Mitochondrial translational activator specific for the COX3 mRNA, acts together with Pet54p and Pet494p; located in the mitochondrial inner membrane"	"mitochondrion organization, translation"	translation regulator activity	"membrane, mitochondrial envelope, mitochondrion, cytoplasm"	"cytoplasm, membrane, mitochondrial envelope, mitochondrion, translation, translation regulator activity"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	85	H1	P148_H1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER154W	OXA1	PET1402	"Mitochondrial inner membrane insertase, mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane, interacts with mitochondrial ribosomes; conserved from bacteria to animals"	"mitochondrion organization, protein complex biogenesis, cellular membrane organization"	transporter activity	"mitochondrion, membrane, mitochondrial envelope, cytoplasm"	"cytoplasm, membrane, membrane organization and biogenesis, mitochondrial envelope, mitochondrion, organelle organization and biogenesis, other, transporter activity"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	86	H2	P148_H2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER155C	BEM2	TSL1;SUP9;IPL2	Rho GTPase activating protein (RhoGAP) involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence	"fungal-type cell wall organization, cell budding, signaling process, cytoskeleton organization"	enzyme regulator activity	"cell cortex, mitochondrion, cellular bud, membrane, site of polarized growth, cytoplasm, plasma membrane"	"anatomical structure morphogenesis, cell budding, cell wall organization and biogenesis, cytoskeleton organization and biogenesis, enzyme regulator activity, mitochondrion, organelle organization and biogenesis, other, signal transduction"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	87	H3	P148_H3																				annotation not available; images not available
P148	88	H4	P148_H4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER156C			"Putative protein of unknown function; interacts with Hsp82p and copurifies with Ipl1p; expression is copper responsive and downregulated in strains deleted for MAC1, a copper-responsive transcription factor; similarity to mammalian MYG1"	biological_process	molecular_function	"nucleus, cytoplasm"	"biological_process, cytoplasm, molecular_function, nucleus"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	89	H5	P148_H5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER158C			"Protein of unknown function, has similarity to Afr1p; potentially phosphorylated by Cdc28p"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	90	H6	P148_H6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER161C	SPT2	EXA1;SIN1	"Protein involved in negative regulation of transcription; required for RNA polyadenylation; exhibits regulated interactions with both histones and SWI-SNF components, has similarity to mammalian HMG1 proteins"	"chromosome organization, transcription, RNA metabolic process"	DNA binding	nucleus	"DNA binding, RNA metabolic process, nucleus, organelle organization and biogenesis, transcription"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	91	H7	P148_H7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER162C	RAD4		Protein that recognizes and binds damaged DNA (with Rad23p) during nucleotide excision repair; subunit of Nuclear Excision Repair Factor 2 (NEF2); homolog of human XPC protein	"response to stress, DNA metabolic process"	DNA binding	nucleus	"DNA binding, DNA metabolic process, nucleus, organelle organization and biogenesis, response to stress"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	92	H8	P148_H8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER163C			Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; periodically expressed during the metabolic cycle; weak similarity to bacterial cation transport protein	biological_process	molecular_function	"nucleus, cytoplasm"	"biological_process, cytoplasm, molecular_function, nucleus"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	93	H9	P148_H9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER164W	CHD1		"Nucleosome remodeling factor that functions in regulation of transcription elongation; contains a chromo domain, a helicase domain and a DNA-binding domain; component of both the SAGA and SLIK complexes"	"chromosome organization, transcription, RNA metabolic process"	"transcription regulator activity, hydrolase activity"	"nucleus, mitochondrion, cytoplasm"	"RNA metabolic process, hydrolase activity, mitochondrion, nucleus, organelle organization and biogenesis, transcription, transcription regulator activity"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	94	H10	P148_H10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER166W	DNF1		"Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase"	"transport, vesicle-mediated transport, cellular membrane organization"	"hydrolase activity, transporter activity"	"mitochondrion, membrane, cytoplasm, plasma membrane"	"anatomical structure morphogenesis, hydrolase activity, membrane organization and biogenesis, mitochondrion, plasma membrane, transport, transporter activity, vesicle-mediated transport"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	95	H11	P148_H11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER167W	BCK2	CTR7	"Protein rich in serine and threonine residues involved in protein kinase C signaling pathway, which controls cell integrity; overproduction suppresses pkc1 mutations"	cell cycle	molecular_function	"nucleus, cytoplasm"	"cell cycle, cytoplasm, molecular_function, nucleus"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P148	96	H12	P148_H12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER169W	RPH1	KDM4	JmjC domain-containing histone demethylase which can specifically demethylate H3K36 tri- and dimethyl modification states; transcriptional repressor of PHR1; Rph1p phosphorylation during DNA damage is under control of the MEC1-RAD53 pathway	"transcription, protein modification process, response to stress, chromosome organization, DNA metabolic process, RNA metabolic process"	"transcription regulator activity, oxidoreductase activity, DNA binding"	nucleus	"DNA metabolic process, RNA metabolic process, nucleus, organelle organization and biogenesis, other, oxidoreductase activity, protein modification process, response to stress, transcription, transcription regulator activity"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	1	A1	P149_A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER170W	ADK2	PAK3;AKY3	"Mitochondrial adenylate kinase, catalyzes the reversible synthesis of GTP and AMP from GDP and ADP; may serve as a back-up for synthesizing GTP or ADP depending on metabolic conditions; 3' sequence of ADK2 varies with strain background"	other	transferase activity	"membrane, mitochondrial envelope, mitochondrion, cytoplasm"	"cytoplasm, membrane, mitochondrial envelope, mitochondrion, other, transferase activity"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	2	A2	P149_A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER173W	RAD24	RS1	"Checkpoint protein, involved in the activation of the DNA damage and meiotic pachytene checkpoints; subunit of a clamp loader that loads Rad17p-Mec3p-Ddc1p onto DNA; homolog of human and S. pombe Rad17 protein"	"signaling process, response to stress, meiosis, cell cycle, DNA metabolic process"	"hydrolase activity, DNA binding"	"nucleus, chromosome"	"DNA binding, DNA metabolic process, cell cycle, chromosome, hydrolase activity, meiosis, nucleus, response to stress, signal transduction"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	3	A3	P149_A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER174C	GRX4		Hydroperoxide and superoxide-radical responsive glutathione-dependent oxidoreductase; monothiol glutaredoxin subfamily member along with Grx3p and Grx5p; protects cells from oxidative damage	"response to stress, cellular homeostasis, response to chemical stimulus"	oxidoreductase activity	nucleus	"cellular homeostasis, nucleus, other, oxidoreductase activity, response to chemical stimulus, response to stress"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	4	A4	P149_A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER175C	TMT1	TAM1	"Trans-aconitate methyltransferase, cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle"	biological_process	transferase activity	cytoplasm	"biological_process, cytoplasm, transferase activity"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	5	A5	P149_A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER176W	ECM32	MTT1;HEL1	"DNA dependent ATPase/DNA helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination; interacts with the translation termination factors, localized to polysomes"	translation	"helicase activity, hydrolase activity"	other	"helicase activity, other, translation"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	6	A6	P149_A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER177W	BMH1	APR6	"14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling"	"signaling process, generation of precursor metabolites and energy, protein modification process, response to stress, cellular carbohydrate metabolic process, sporulation resulting in formation of a cellular spore, pseudohyphal growth, cell cycle"	"DNA binding, protein binding"	"nucleus, membrane fraction"	"DNA binding, carbohydrate metabolic process, cell cycle, cell wall organization and biogenesis, generation of precursor metabolites and energy, nucleus, protein binding, pseudohyphal growth, response to stress, signal transduction, sporulation"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	7	A7	P149_A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER178W	PDA1		"E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex, catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose"	cofactor metabolic process	oxidoreductase activity	"mitochondrion, cytoplasm"	"cytoplasm, mitochondrion, other, oxidoreductase activity"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	8	A8	P149_A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER179W	DMC1	ISC2	Meiosis-specific protein required for repair of double-strand breaks and pairing between homologous chromosomes; homolog of Rad51p and the bacterial RecA protein	"meiosis, cell cycle, DNA metabolic process"	DNA binding	"nucleus, chromosome"	"DNA binding, DNA metabolic process, cell cycle, chromosome, meiosis, nucleus"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	9	A9	P149_A9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER180C	ISC10		"Protein required for sporulation, transcript is induced 7.5 hours after induction of meiosis, expected to play significant role in the formation of reproductive cells"	sporulation resulting in formation of a cellular spore	molecular_function	cellular_component	"cellular_component, molecular_function, sporulation"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	10	A10	P149_A10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER181C			"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative data; extensively overlaps a Ty1 LTR; protein product is detected in highly purified mitochondria in high-throughput studies"	biological_process	molecular_function	"mitochondrion, cytoplasm"	"biological_process, mitochondrion, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	11	A11	P149_A11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER182W	FMP10		"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	biological_process	molecular_function	"mitochondrion, cytoplasm"	"biological_process, mitochondrion, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	12	A12	P149_A12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER183C	FAU1		"5,10-methenyltetrahydrofolate synthetase, involved in folic acid biosynthesis"	"cofactor metabolic process, heterocycle metabolic process, cellular aromatic compound metabolic process"	ligase activity	"mitochondrion, cytoplasm"	"aromatic compound metabolic process, cofactor metabolic process, heterocycle metabolic process, ligase activity, mitochondrion"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	13	B1	P149_B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER184C			"Putative zinc cluster protein; deletion confers sensitivity to Calcufluor white, and prevents growth on glycerol or lactate as sole carbon source"	biological_process	DNA binding	cellular_component	"biological_process, cellular_component, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	14	B2	P149_B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER185W	PUG1		Plasma membrane protein with roles in the uptake of protoprophyrin IX and the efflux of heme; expression is induced under both low-heme and low-oxygen conditions; member of the fungal lipid-translocating exporter (LTE) family of proteins	transport	molecular_function	"membrane, plasma membrane"	"membrane, molecular_function, plasma membrane, transport"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	15	B3	P149_B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER186C			Putative protein of unknown function	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	16	B4	P149_B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YER187W			Putative protein of unknown function; induced in respiratory-deficient cells	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	17	B5	P149_B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR052C-A			"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	18	B6	P149_B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR052W	FAR3		"Protein involved in recovery from cell cycle arrest in response to pheromone, in a Far1p-independent pathway; interacts with Far7p, Far8p, Far9p, Far10p, and Far11p; localizes to the endoplasmic reticulum"	"conjugation, cell cycle, response to chemical stimulus"	molecular_function	"endoplasmic reticulum, cytoplasm"	"cell cycle, conjugation, endoplasmic reticulum, molecular_function, response to chemical stimulus"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	19	B7	P149_B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR053C	STB2		Protein that interacts with Sin3p in a two-hybrid assay and is part of a large protein complex with Sin3p and Stb1p	"chromosome organization, protein modification process"	transcription regulator activity	"nucleus, chromosome"	"nucleus, organelle organization and biogenesis, protein modification process, transcription regulator activity"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
P149	20	B8	P149_B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR054W	STV1		"Subunit a of the vacuolar-ATPase V0 domain, one of two isoforms (Stv1p and Vph1p); Stv1p is located in V-ATPase complexes of the Golgi and endosomes while Vph1p is located in V-ATPase complexes of the vacuole"	cellular homeostasis	"transporter activity, hydrolase activity"	"membrane, vacuole, cytoplasm, Golgi apparatus"	"Golgi apparatus, cellular homeostasis, cytoplasm, hydrolase activity, membrane, transporter activity, vacuole"			00_5				DIC:cell structure;YFP:Rad52-YFP protein	
